Location,Subcommunity,TaxRank,Site1,Site2,Bray,Geo_km,Env_distance,Salinity_difference
Pascagoula Bay,Abundant,ASV,PAS_ST4,PAS_ST1,0.3735984865882679,4.521621397524145,1.2329364232636775,4.2299999999999995
Pascagoula Bay,Abundant,ASV,PAS_ST5,PAS_ST1,0.3808985063178665,6.343373606301324,2.952855671416718,9.25
Pascagoula Bay,Abundant,ASV,PAS_ST6,PAS_ST1,0.45670246968133565,8.31230082707847,2.2157349602514578,9.43
Pascagoula Bay,Abundant,ASV,PAS_ST7,PAS_ST1,0.40854396914468855,9.99099167278161,2.777957666724889,11.459999999999999
Pascagoula Bay,Abundant,ASV,PAS_ST8,PAS_ST1,0.4273767592691876,11.661480240746295,3.9351850240613353,16.450000000000003
Pascagoula Bay,Abundant,ASV,PAS_ST9,PAS_ST1,0.4462451516543577,16.03145161203588,5.984358378282292,26.770000000000003
Pascagoula Bay,Abundant,ASV,PAS_ST2,PAS_ST10,0.7974748627105823,18.230328080143494,6.046038324626389,26.939999999999998
Pascagoula Bay,Abundant,ASV,PAS_ST3,PAS_ST10,0.8253759306417338,16.532529913886325,5.585481264493113,25.39
Pascagoula Bay,Abundant,ASV,PAS_ST4,PAS_ST10,0.7683116617354315,14.482124024378336,5.0630430294445805,23.73
Pascagoula Bay,Abundant,ASV,PAS_ST5,PAS_ST10,0.707413313828363,12.52027859400925,4.923605519685613,18.71
Pascagoula Bay,Abundant,ASV,PAS_ST6,PAS_ST10,0.7453841954009123,10.522986794213507,3.8461401058438853,18.53
Pascagoula Bay,Abundant,ASV,PAS_ST7,PAS_ST10,0.7018457537272448,8.84567452096884,3.765174040758481,16.5
Pascagoula Bay,Abundant,ASV,PAS_ST8,PAS_ST10,0.6934805485988296,7.20505081042639,3.3392634031041726,11.509999999999998
Pascagoula Bay,Abundant,ASV,PAS_ST9,PAS_ST10,0.621070509645222,2.8205832400433457,1.2727339671184181,1.1899999999999977
Pascagoula Bay,Abundant,ASV,PAS_ST3,PAS_ST2,0.17638807496763323,1.7800643980636879,0.5331449553636911,1.5500000000000003
Pascagoula Bay,Abundant,ASV,PAS_ST4,PAS_ST2,0.14936051345532164,3.7508616307215155,1.0996697429811066,3.21
Pascagoula Bay,Abundant,ASV,PAS_ST5,PAS_ST2,0.1484331452186407,5.747869712847235,2.148092794718697,8.23
Pascagoula Bay,Abundant,ASV,PAS_ST6,PAS_ST2,0.23632317643690315,7.782265219205101,2.2994693636050485,8.41
Pascagoula Bay,Abundant,ASV,PAS_ST7,PAS_ST2,0.18081230672736096,9.465058968387872,2.5905548064167028,10.44
Pascagoula Bay,Abundant,ASV,PAS_ST8,PAS_ST2,0.20323559666467655,11.169735572048415,3.6980878873936436,15.430000000000001
Pascagoula Bay,Abundant,ASV,PAS_ST9,PAS_ST2,0.5085483051730314,15.410324611950285,6.441608826558543,25.75
Pascagoula Bay,Abundant,ASV,PAS_ST4,PAS_ST3,0.0949139274857041,2.0787849384595085,0.6139513273276159,1.6599999999999997
Pascagoula Bay,Abundant,ASV,PAS_ST5,PAS_ST3,0.1768617507594515,4.016451538823597,1.9220681438860823,6.68
Pascagoula Bay,Abundant,ASV,PAS_ST6,PAS_ST3,0.10193754129697816,6.041409533456225,1.805130683190165,6.859999999999999
